body,row,col,nu1,nu2,nu3,nu4,nu5,nu6,real_num,real_den,imag_num,imag_den
6,2,2,0,0,1,0,1,0,441,800000,0,1
6,2,2,0,0,1,1,-1,0,-441,1600000,0,1
6,2,2,0,0,1,1,1,0,441,1600000,0,1
6,2,3,0,0,-1,-1,-1,0,441,3200000,0,1
6,2,3,0,0,-1,-1,1,0,-441,3200000,0,1
6,2,3,0,0,-1,0,-1,0,441,1600000,0,1
6,2,3,0,0,-1,0,0,0,1197,400000,0,1
6,2,3,0,0,-1,0,1,0,441,1600000,0,1
6,2,3,0,0,-1,1,-1,0,441,3200000,0,1
6,2,3,0,0,-1,1,1,0,-441,3200000,0,1
6,2,3,0,0,0,-2,-2,0,-147,12800000,0,1
6,2,3,0,0,0,-2,0,0,147,6400000,0,1
6,2,3,0,0,0,-2,2,0,-147,12800000,0,1
6,2,3,0,0,0,0,-2,0,147,6400000,0,1
6,2,3,0,0,0,0,-1,0,399,400000,0,1
6,2,3,0,0,0,0,0,0,213307,9600000,0,1
6,2,3,0,0,0,0,1,0,399,400000,0,1
6,2,3,0,0,0,0,2,0,147,6400000,0,1
6,2,3,0,0,0,2,-2,0,-147,12800000,0,1
6,2,3,0,0,0,2,0,0,147,6400000,0,1
6,2,3,0,0,0,2,2,0,-147,12800000,0,1
6,2,3,0,0,1,-1,-1,0,-441,3200000,0,1
6,2,3,0,0,1,-1,1,0,441,3200000,0,1
6,2,3,0,0,1,0,-1,0,441,1600000,0,1
6,2,3,0,0,1,0,0,0,1197,400000,0,1
6,2,3,0,0,1,0,1,0,441,1600000,0,1
6,2,3,0,0,1,1,-1,0,-441,3200000,0,1
6,2,3,0,0,1,1,1,0,441,3200000,0,1
6,2,4,0,0,-1,-1,-1,0,441,3200000,0,1
6,2,4,0,0,-1,-1,1,0,-441,3200000,0,1
6,2,4,0,0,-1,1,-1,0,-441,3200000,0,1
6,2,4,0,0,-1,1,1,0,441,3200000,0,1
6,2,4,0,0,0,-1,-2,0,147,6400000,0,1
6,2,4,0,0,0,-1,-1,0,399,1600000,0,1
6,2,4,0,0,0,-1,1,0,-399,1600000,0,1
6,2,4,0,0,0,-1,2,0,-147,6400000,0,1
6,2,4,0,0,0,1,-2,0,-147,6400000,0,1
6,2,4,0,0,0,1,-1,0,-399,1600000,0,1
6,2,4,0,0,0,1,1,0,399,1600000,0,1
6,2,4,0,0,0,1,2,0,147,6400000,0,1
6,2,4,0,0,1,-1,-1,0,441,3200000,0,1
6,2,4,0,0,1,-1,1,0,-441,3200000,0,1
6,2,4,0,0,1,1,-1,0,-441,3200000,0,1
6,2,4,0,0,1,1,1,0,441,3200000,0,1
6,2,5,0,0,-1,-1,-1,0,441,3200000,0,1
6,2,5,0,0,-1,-1,1,0,441,3200000,0,1
6,2,5,0,0,-1,0,-1,0,441,1600000,0,1
6,2,5,0,0,-1,0,1,0,-441,1600000,0,1
6,2,5,0,0,-1,1,-1,0,441,3200000,0,1
6,2,5,0,0,-1,1,1,0,441,3200000,0,1
6,2,5,0,0,0,-1,-1,0,399,1600000,0,1
6,2,5,0,0,0,-1,0,0,40441,4800000,0,1
6,2,5,0,0,0,-1,1,0,399,1600000,0,1
6,2,5,0,0,0,1,-1,0,399,1600000,0,1
6,2,5,0,0,0,1,0,0,40441,4800000,0,1
6,2,5,0,0,0,1,1,0,399,1600000,0,1
6,2,5,0,0,1,-1,-1,0,441,3200000,0,1
6,2,5,0,0,1,-1,1,0,441,3200000,0,1
6,2,5,0,0,1,0,-1,0,-441,1600000,0,1
6,2,5,0,0,1,0,1,0,441,1600000,0,1
6,2,5,0,0,1,1,-1,0,441,3200000,0,1
6,2,5,0,0,1,1,1,0,441,3200000,0,1
6,2,6,0,0,0,-1,-1,0,-1,240,0,1
6,2,6,0,0,0,-1,1,0,1,240,0,1
6,2,6,0,0,0,1,-1,0,1,240,0,1
6,2,6,0,0,0,1,1,0,-1,240,0,1
6,3,1,0,-1,-1,-2,-2,0,147,25600000,0,1
6,3,1,0,-1,-1,-2,0,0,-147,12800000,0,1
6,3,1,0,-1,-1,-2,2,0,147,25600000,0,1
6,3,1,0,-1,-1,-1,-2,0,147,12800000,0,1
6,3,1,0,-1,-1,-1,-1,0,147,1600000,0,1
6,3,1,0,-1,-1,-1,1,0,-147,1600000,0,1
6,3,1,0,-1,-1,-1,2,0,-147,12800000,0,1
6,3,1,0,-1,-1,0,-1,0,-21,320000,0,1
6,3,1,0,-1,-1,0,0,0,-57,80000,0,1
6,3,1,0,-1,-1,0,1,0,-21,320000,0,1
6,3,1,0,-1,-1,1,-2,0,-147,12800000,0,1
6,3,1,0,-1,-1,1,-1,0,-63,400000,0,1
6,3,1,0,-1,-1,1,1,0,63,400000,0,1
6,3,1,0,-1,-1,1,2,0,147,12800000,0,1
6,3,1,0,-1,-1,2,-2,0,-147,25600000,0,1
6,3,1,0,-1,-1,2,0,0,147,12800000,0,1
6,3,1,0,-1,-1,2,2,0,-147,25600000,0,1
6,3,1,0,1,1,-2,-2,0,-147,25600000,0,1
6,3,1,0,1,1,-2,0,0,147,12800000,0,1
6,3,1,0,1,1,-2,2,0,-147,25600000,0,1
6,3,1,0,1,1,-1,-2,0,147,12800000,0,1
6,3,1,0,1,1,-1,-1,0,63,400000,0,1
6,3,1,0,1,1,-1,1,0,-63,400000,0,1
6,3,1,0,1,1,-1,2,0,-147,12800000,0,1
6,3,1,0,1,1,0,-1,0,-21,320000,0,1
6,3,1,0,1,1,0,0,0,-57,80000,0,1
6,3,1,0,1,1,0,1,0,-21,320000,0,1
6,3,1,0,1,1,1,-2,0,-147,12800000,0,1
6,3,1,0,1,1,1,-1,0,-147,1600000,0,1
6,3,1,0,1,1,1,1,0,147,1600000,0,1
6,3,1,0,1,1,1,2,0,147,12800000,0,1
6,3,1,0,1,1,2,-2,0,147,25600000,0,1
6,3,1,0,1,1,2,0,0,-147,12800000,0,1
6,3,1,0,1,1,2,2,0,147,25600000,0,1
6,3,2,0,0,-1,-1,-1,0,441,3200000,0,1
6,3,2,0,0,-1,-1,1,0,-441,3200000,0,1
6,3,2,0,0,-1,0,-1,0,441,1600000,0,1
6,3,2,0,0,-1,0,0,0,1197,400000,0,1
6,3,2,0,0,-1,0,1,0,441,1600000,0,1
6,3,2,0,0,-1,1,-1,0,441,3200000,0,1
6,3,2,0,0,-1,1,1,0,-441,3200000,0,1
6,3,2,0,0,0,-2,-2,0,-147,12800000,0,1
6,3,2,0,0,0,-2,0,0,147,6400000,0,1
6,3,2,0,0,0,-2,2,0,-147,12800000,0,1
6,3,2,0,0,0,0,-2,0,147,6400000,0,1
6,3,2,0,0,0,0,-1,0,399,400000,0,1
6,3,2,0,0,0,0,0,0,213307,9600000,0,1
6,3,2,0,0,0,0,1,0,399,400000,0,1
6,3,2,0,0,0,0,2,0,147,6400000,0,1
6,3,2,0,0,0,2,-2,0,-147,12800000,0,1
6,3,2,0,0,0,2,0,0,147,6400000,0,1
6,3,2,0,0,0,2,2,0,-147,12800000,0,1
